Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
37;infrastructure;UPC7103689;38:43:7D:48:70:4D;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;17;0;7;0;0;7;;;Sat Dec  7 20:58:51 2019;Sat Dec  7 21:00:54 2019;-73;0;0;51.278503;7.228034;0.183000;12.330000;51.279076;7.229180;1.540000;12.330000;51.278503;7.229118;1.116000;0;0;0.0.0.0;
38;infrastructure;HZN241196148;54:FA:3E:76:DA:61;;6;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Dec  7 20:59:02 2019;Sat Dec  7 21:00:56 2019;-73;0;0;51.278587;7.228039;0.776000;284.226807;51.279091;7.229170;1.698000;284.226807;51.278587;7.229170;0.779000;0;0;0.0.0.0;
39;infrastructure;SchweitzLan;90:5C:44:CB:B4:59;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;6;0;0;0;0;0;;;Sat Dec  7 20:58:58 2019;Sat Dec  7 21:00:56 2019;-75;0;0;51.278557;7.228039;0.684000;312.390015;51.279091;7.229162;1.698000;312.390015;51.278557;7.229162;1.026000;0;0;0.0.0.0;
40;infrastructure;devolo-018;B8:BE:F4:40:6C:8E;;1;No;WPA2,AES-CCM;No;54.0;0;5;0;1;0;0;1;;;Sat Dec  7 20:58:55 2019;Sat Dec  7 21:00:54 2019;-75;0;0;51.278545;7.228036;0.779000;343.249298;51.279076;7.229170;1.525000;343.249298;51.278545;7.229120;1.181000;0;0;0.0.0.0;
41;infrastructure;Unitymedia WifiSpot;3A:43:1D:48:70:4D;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;23;0;0;0;0;0;;;Sat Dec  7 20:58:48 2019;Sat Dec  7 21:00:28 2019;-71;0;0;51.278481;7.228294;0.646000;26.980000;51.278767;7.229176;1.413000;26.980000;51.278481;7.229104;1.243000;0;0;0.0.0.0;
42;infrastructure;;7C:FF:4D:8D:5B:4A;;10;No;WPA,None;No;-1.0;0;0;0;3;0;0;3;;;Sat Dec  7 20:59:17 2019;Sat Dec  7 21:00:16 2019;-67;0;0;51.278576;7.228484;0.952000;270.510010;51.278721;7.229088;1.064000;270.510010;51.278576;7.229088;1.064000;0;0;0.0.0.0;
43;infrastructure;;38:10:D5:FE:09:D5;;3;No;WPA,None;No;-1.0;0;0;0;5;0;0;5;;;Sat Dec  7 20:58:58 2019;Sat Dec  7 20:59:35 2019;-76;0;0;51.278557;7.228829;0.779000;312.390015;51.278664;7.229171;1.403000;312.390015;51.278557;7.229162;1.026000;0;0;0.0.0.0;
44;infrastructure;devolo-254;30:D3:2D:1A:32:54;;11;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Sat Dec  7 20:58:56 2019;Sat Dec  7 20:59:35 2019;-77;0;0;51.278545;7.228829;0.776000;351.839996;51.278664;7.229171;1.482000;351.839996;51.278545;7.229120;1.186000;0;0;0.0.0.0;
45;infrastructure;EasyBox-297808;E0:60:66:DD:8B:8C;;11;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;1;0;3;0;0;3;;;Sat Dec  7 20:59:12 2019;Sat Dec  7 20:59:35 2019;-78;0;0;51.278576;7.228829;0.916000;270.630005;51.278664;7.229137;1.403000;270.630005;51.278576;7.229137;0.916000;0;0;0.0.0.0;
46;infrastructure;HZN245732949;1C:3A:DE:B8:8C:01;;13;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sat Dec  7 20:59:03 2019;Sat Dec  7 20:59:35 2019;-84;0;0;51.278587;7.228829;0.776000;308.369995;51.278664;7.229170;1.403000;308.369995;51.278587;7.229170;0.776000;0;0;0.0.0.0;
